,model,subject,verb,entity,entity_cat,sentence,pll_på,pll_med,pll_null,index_
0,NbAiLab/nb-bert-base,Kim,begynte,strudel,food,"['Kim begynte på strudelen.', 'Kim begynte med strudelen.', 'Kim begynte strudelen.']",49.13621520996094,52.684852600097656,48.52195739746094,0
1,NbAiLab/nb-bert-base,Kim,startet,strudel,food,"['Kim startet på strudelen.', 'Kim startet med strudelen.', 'Kim startet strudelen.']",54.538116455078125,56.270782470703125,51.78769302368164,0
2,NbAiLab/nb-bert-base,Kim,fortsatte,strudel,food,"['Kim fortsatte på strudelen.', 'Kim fortsatte med strudelen.', 'Kim fortsatte strudelen.']",55.1097526550293,50.23719787597656,51.448699951171875,0
3,NbAiLab/nb-bert-base,Kim,avsluttet,strudel,food,"['Kim avsluttet på strudelen.', 'Kim avsluttet med strudelen.', 'Kim avsluttet strudelen.']",66.4555435180664,59.30436325073242,51.74715805053711,0
4,NbAiLab/nb-bert-base,Kim,begynte,kake,food,"['Kim begynte på kaken.', 'Kim begynte med kaken.', 'Kim begynte kaken.']",24.46017074584961,24.948148727416992,31.351144790649414,1
5,NbAiLab/nb-bert-base,Kim,startet,kake,food,"['Kim startet på kaken.', 'Kim startet med kaken.', 'Kim startet kaken.']",29.254802703857422,27.172969818115234,29.81844711303711,1
6,NbAiLab/nb-bert-base,Kim,fortsatte,kake,food,"['Kim fortsatte på kaken.', 'Kim fortsatte med kaken.', 'Kim fortsatte kaken.']",28.943628311157227,22.405609130859375,30.63385009765625,1
7,NbAiLab/nb-bert-base,Kim,avsluttet,kake,food,"['Kim avsluttet på kaken.', 'Kim avsluttet med kaken.', 'Kim avsluttet kaken.']",41.272621154785156,31.140045166015625,29.02510643005371,1
8,NbAiLab/nb-bert-base,Kim,begynte,lasagne,food,"['Kim begynte på lasagnen.', 'Kim begynte med lasagnen.', 'Kim begynte lasagnen.']",39.3297004699707,39.750526428222656,43.728355407714844,2
9,NbAiLab/nb-bert-base,Kim,startet,lasagne,food,"['Kim startet på lasagnen.', 'Kim startet med lasagnen.', 'Kim startet lasagnen.']",43.7723388671875,42.906402587890625,38.03242874145508,2
10,NbAiLab/nb-bert-base,Kim,fortsatte,lasagne,food,"['Kim fortsatte på lasagnen.', 'Kim fortsatte med lasagnen.', 'Kim fortsatte lasagnen.']",45.52085876464844,35.481781005859375,45.198978424072266,2
11,NbAiLab/nb-bert-base,Kim,avsluttet,lasagne,food,"['Kim avsluttet på lasagnen.', 'Kim avsluttet med lasagnen.', 'Kim avsluttet lasagnen.']",56.02660369873047,44.48080825805664,44.251251220703125,2
12,NbAiLab/nb-bert-base,Kim,begynte,potet,food,"['Kim begynte på poteten.', 'Kim begynte med poteten.', 'Kim begynte poteten.']",21.3627872467041,19.3990421295166,36.810752868652344,3
13,NbAiLab/nb-bert-base,Kim,startet,potet,food,"['Kim startet på poteten.', 'Kim startet med poteten.', 'Kim startet poteten.']",26.99881362915039,22.439212799072266,34.60491943359375,3
14,NbAiLab/nb-bert-base,Kim,fortsatte,potet,food,"['Kim fortsatte på poteten.', 'Kim fortsatte med poteten.', 'Kim fortsatte poteten.']",29.738513946533203,20.41246795654297,37.09901428222656,3
